account_id,account_hash,institution_type,owner_person_id,source_id,synthetic_demo_record
ACC_00001,a522d9e344f13ab8,Commercial Bank,P_03184,BANK_SRC_60,True
ACC_00002,ea7a906292a24a61,Cooperative Bank,P_04813,BANK_SRC_57,True
ACC_00003,de29c83ff84d068a,NBFC,P_02203,BANK_SRC_36,True
ACC_00004,754fc0e3cef98f08,Commercial Bank,P_04855,BANK_SRC_23,True
ACC_00005,adc3e6544126ca11,Payment Bank,P_02473,BANK_SRC_56,True
ACC_00006,8664ade293ee242d,Cooperative Bank,P_03982,BANK_SRC_42,True
ACC_00007,6a36611b2fd4f9e6,Cooperative Bank,P_01084,BANK_SRC_56,True
ACC_00008,754b741e20c4315a,Commercial Bank,P_02640,BANK_SRC_52,True
ACC_00009,53188f19fb07f9ad,Commercial Bank,P_00196,BANK_SRC_10,True
ACC_00010,d3b93ffc7223eaf2,Commercial Bank,P_00393,BANK_SRC_95,True
ACC_00011,497b908837aa0c52,Commercial Bank,P_00454,BANK_SRC_63,True
ACC_00012,f338c71f7835b817,NBFC,P_00577,BANK_SRC_34,True
ACC_00013,90e234f9b4526c2e,Commercial Bank,P_04603,BANK_SRC_27,True
ACC_00014,2ae85cc6312ef8f9,Commercial Bank,P_00719,BANK_SRC_16,True
ACC_00015,bfee61ea47fc8771,Cooperative Bank,P_04556,BANK_SRC_77,True
ACC_00016,f51fbdd784af8a2b,Commercial Bank,P_02030,BANK_SRC_97,True
ACC_00017,add3411598e37371,NBFC,P_04594,BANK_SRC_26,True
ACC_00018,5ca63a65ff56f247,Commercial Bank,P_01611,BANK_SRC_43,True
ACC_00019,691f63676a339e2a,NBFC,P_02198,BANK_SRC_96,True
ACC_00020,c1279c93b6db4427,Cooperative Bank,P_03820,BANK_SRC_90,True
ACC_00021,88f52677ff9fe9f1,Payment Bank,P_03381,BANK_SRC_63,True
ACC_00022,a873ca150607f415,Cooperative Bank,P_00576,BANK_SRC_19,True
ACC_00023,7228c8e3bed9bcd5,Cooperative Bank,P_04441,BANK_SRC_12,True
ACC_00024,fd6676d866dba057,NBFC,P_03365,BANK_SRC_46,True
ACC_00025,9bd584737fc0174d,Commercial Bank,P_00996,BANK_SRC_91,True
ACC_00026,3a3649e396769085,Cooperative Bank,P_01830,BANK_SRC_34,True
ACC_00027,4db8d40dd8fe99ee,Cooperative Bank,P_03388,BANK_SRC_64,True
ACC_00028,e6b7c70c41ee0b5d,Commercial Bank,P_04248,BANK_SRC_62,True
ACC_00029,7f5ed675904c95ef,Commercial Bank,P_03789,BANK_SRC_41,True
ACC_00030,7725aceb7a0dc80f,Cooperative Bank,P_01208,BANK_SRC_91,True
ACC_00031,4448796d2351540e,Commercial Bank,P_03296,BANK_SRC_32,True
ACC_00032,606e215091de63e1,Cooperative Bank,P_03118,BANK_SRC_69,True
ACC_00033,ccbe8960228df138,Payment Bank,P_04778,BANK_SRC_31,True
ACC_00034,bc3524f203a9fb68,NBFC,P_01528,BANK_SRC_42,True
ACC_00035,7f36a407299b1d8a,Cooperative Bank,P_02163,BANK_SRC_90,True
ACC_00036,10d8697b389f24c3,NBFC,P_03517,BANK_SRC_74,True
ACC_00037,b44455e8818ea2bf,Commercial Bank,P_00926,BANK_SRC_49,True
ACC_00038,da41f346d2197bdf,NBFC,P_01824,BANK_SRC_42,True
ACC_00039,f56ad2528c602302,Payment Bank,P_00200,BANK_SRC_81,True
ACC_00040,e462bbd809e3c2ba,Payment Bank,P_04190,BANK_SRC_50,True
ACC_00041,d41b3fc618bdcbeb,NBFC,P_02849,BANK_SRC_99,True
ACC_00042,85216d84eda10484,NBFC,P_01368,BANK_SRC_88,True
