person_id,canonical_name,normalized_name,DOB_or_age,gender,aliases,status,synthetic_demo_record
P_00001,Aryan Maharaj,aryan maharaj,1975-11-03,Male,A. Maharaj; Aryan (Alias: Yash),active,True
P_00002,Ayushman Chander,ayushman chander,1976-06-25,Female,A. Chander; Ayushman (Alias: Tejas),active,True
P_00003,Saumya Mall,saumya mall,1971-07-08,Male,S. Mall; Saumya (Alias: Abeer),active,True
P_00004,Lajita Chatterjee,lajita chatterjee,1984-01-22,Male,L. Chatterjee; Lajita (Alias: Jagrati),active,True
P_00005,Chaaya Pathak,chaaya pathak,1965-05-20,Male,C. Pathak; Chaaya (Alias: Rehaan),active,True
P_00006,Arunima Setty,arunima setty,1971-09-20,Female,A. Setty; Arunima (Alias: Janya),active,True
P_00007,Yash Gade,yash gade,1986-06-22,Male,Y. Gade; Yash (Alias: Turvi),active,True
P_00008,Azad Mutti,azad mutti,1978-11-14,Male,A. Mutti; Azad (Alias: Nandini),active,True
P_00009,Tara Dhar,tara dhar,1970-02-25,Male,T. Dhar; Tara (Alias: Alka),active,True
P_00010,Janaki Kanda,janaki kanda,1995-04-29,Male,J. Kanda; Janaki (Alias: Lakshit),active,True
P_00011,Pahal Bhatt,pahal bhatt,1986-08-15,Female,P. Bhatt; Pahal (Alias: Lekha),active,True
P_00012,Harini Choudhury,harini choudhury,1990-03-28,Female,H. Choudhury; Harini (Alias: Chaaya),active,True
P_00013,Chanchal Tripathi,chanchal tripathi,1971-01-19,Female,C. Tripathi; Chanchal (Alias: Rushil),active,True
P_00014,Vrinda Bahl,vrinda bahl,1985-05-08,Male,V. Bahl; Vrinda (Alias: Isaac),active,True
P_00015,Vedika Biswas,vedika biswas,1969-05-22,Female,V. Biswas; Vedika (Alias: Jeremiah),active,True
P_00016,Sai Muni,sai muni,2006-05-11,Female,S. Muni; Sai (Alias: Mohini),active,True
P_00017,Hamsini Bail,hamsini bail,2000-09-10,Male,H. Bail; Hamsini (Alias: Victor),active,True
P_00018,Ganga Bobal,ganga bobal,1976-11-05,Male,G. Bobal; Ganga (Alias: Yoshita),active,True
P_00019,Xavier Solanki,xavier solanki,1973-08-10,Female,X. Solanki; Xavier (Alias: Niharika),active,True
P_00020,Chatura Chaudhari,chatura chaudhari,1988-01-19,Female,C. Chaudhari; Chatura (Alias: Darsh),active,True
P_00021,Pahal Goswami,pahal goswami,1992-02-18,Female,P. Goswami; Pahal (Alias: Arya),active,True
P_00022,Girik Khalsa,girik khalsa,1988-04-22,Female,G. Khalsa; Girik (Alias: Ojas),active,True
P_00023,Ladli Agate,ladli agate,1978-09-12,Male,L. Agate; Ladli (Alias: Madhavi),active,True
P_00024,Ranveer Minhas,ranveer minhas,1964-08-18,Male,R. Minhas; Ranveer (Alias: Teerth),active,True
P_00025,Dakshesh Trivedi,dakshesh trivedi,1973-04-18,Female,D. Trivedi; Dakshesh (Alias: Faris),active,True
P_00026,Balveer Bumb,balveer bumb,2005-05-21,Female,B. Bumb; Balveer (Alias: Oni),active,True
P_00027,Alka Randhawa,alka randhawa,2006-05-11,Male,A. Randhawa; Alka (Alias: Karan),active,True
