transaction_id,sender_account_id,receiver_account_id,amount,currency,event_time,channel,location,source_id,synthetic_demo_record
TXN_000001,ACC_02620,ACC_00457,7544.73,INR,2025-02-05T16:22:52,Hawala Token,Navi Mumbai Vashi Sector 17,FIU_IND_FEED,True
TXN_000002,ACC_02234,ACC_00357,624731.14,INR,2026-09-23T23:18:24,RTGS,Dadar TT Circle,FIU_IND_FEED,True
TXN_000003,ACC_00109,ACC_02299,49700.62,INR,2025-06-18T06:33:03,RTGS,Kurla West Terminus,FIU_IND_FEED,True
TXN_000004,ACC_01140,ACC_00027,8155.28,INR,2027-04-15T20:33:09,IMPS,Dharavi Commercial Complex,FIU_IND_FEED,True
TXN_000005,ACC_01379,ACC_00419,49358.62,INR,2025-04-07T11:29:19,UPI,Andheri East MIDC,FIU_IND_FEED,True
TXN_000006,ACC_02989,ACC_01882,49921.37,INR,2026-08-02T06:31:48,Hawala Token,Crawford Market,FIU_IND_FEED,True
TXN_000007,ACC_02534,ACC_01482,49069.49,INR,2026-09-13T13:53:39,UPI,Malad Link Road,FIU_IND_FEED,True
TXN_000008,ACC_00954,ACC_00414,49635.05,INR,2026-03-04T14:44:48,NEFT,Ghatkopar Central Mall,FIU_IND_FEED,True
TXN_000009,ACC_00859,ACC_02746,271366.02,INR,2025-10-16T16:02:13,IMPS,Juhu Tara Road,FIU_IND_FEED,True
TXN_000010,ACC_02188,ACC_02987,2474856.04,INR,2025-09-13T02:52:37,Hawala Token,Crawford Market,FIU_IND_FEED,True
TXN_000011,ACC_02282,ACC_00900,3580.69,INR,2027-01-19T16:02:29,NEFT,Thane Station West,FIU_IND_FEED,True
TXN_000012,ACC_01644,ACC_01097,49941.97,INR,2025-03-27T03:06:28,IMPS,Borivali West Station Area,FIU_IND_FEED,True
TXN_000013,ACC_02685,ACC_02045,8904.49,INR,2026-03-22T09:16:48,IMPS,Byculla Market,FIU_IND_FEED,True
TXN_000014,ACC_02300,ACC_02208,49428.01,INR,2025-10-12T15:40:50,IMPS,Crawford Market,FIU_IND_FEED,True
TXN_000015,ACC_00567,ACC_02088,363157.91,INR,2026-06-12T01:57:18,IMPS,Malad Link Road,FIU_IND_FEED,True
TXN_000016,ACC_02788,ACC_01730,2490691.31,INR,2026-10-03T02:23:37,NEFT,Lower Parel Business Park,FIU_IND_FEED,True
TXN_000017,ACC_02267,ACC_00048,49681.03,INR,2027-01-13T08:42:49,Hawala Token,Sion Circle,FIU_IND_FEED,True
TXN_000018,ACC_01394,ACC_00457,2389158.23,INR,2025-11-15T11:54:00,NEFT,Borivali West Station Area,FIU_IND_FEED,True
TXN_000019,ACC_02051,ACC_00732,816267.5,INR,2026-06-21T19:51:49,RTGS,Kurla West Terminus,FIU_IND_FEED,True
TXN_000020,ACC_02495,ACC_00815,2388399.39,INR,2025-04-28T12:39:42,UPI,Worli Sea Face,FIU_IND_FEED,True
TXN_000021,ACC_02454,ACC_01328,49928.17,INR,2026-06-08T05:22:22,IMPS,Ghatkopar Central Mall,FIU_IND_FEED,True
TXN_000022,ACC_00238,ACC_00987,5889.89,INR,2027-09-07T09:05:06,RTGS,Ghatkopar Central Mall,FIU_IND_FEED,True
TXN_000023,ACC_00516,ACC_00526,736135.91,INR,2026-12-25T10:27:29,Cash Deposit,Navi Mumbai Vashi Sector 17,FIU_IND_FEED,True
TXN_000024,ACC_00868,ACC_02209,848119.1,INR,2027-04-12T01:38:50,Hawala Token,Sion Circle,FIU_IND_FEED,True
